"U_ID","Transcription","Repair","Pair","Interlocutor","Task"
"10_Spontaneous","okaysss",0,"10","10_A","Spontaneous"
"10_Spontaneous","tag udgangspunkt i skal vi så bruge dem eller hvad?",0,"10","10_A","Spontaneous"
"10_Spontaneous","øh det tænker jeg",0,"10","10_B","Spontaneous"
"10_Spontaneous","okay",0,"10","10_A","Spontaneous"
"10_Spontaneous","haha (xxx) det nogen ret vilde ting",0,"10","10_B","Spontaneous"
"10_Spontaneous","haha",0,"10","10_A","Spontaneous"
"10_Spontaneous","øh",0,"10","10_B","Spontaneous"
"10_Spontaneous","øh øh skal vi starte fra en ende af haha",0,"10","10_A","Spontaneous"
"10_Spontaneous","ja (xxx) det kan vi godt",0,"10","10_B","Spontaneous"
"10_Spontaneous","okay den værste oplevelse I har haft med med en I boede sammen med",0,"10","10_A","Spontaneous"
"10_Spontaneous","er der noget der sådan der står frem for dig?",0,"10","10_B","Spontaneous"
"10_Spontaneous","mm altså jeg jeg altså jeg flyttede ind med en jeg ikke kendte vi flyttede sammen med en af mine veninder og så flyttede min veninde ud og så skulle jeg finde en og det startede sådan set meget fint det var egentlig rigtig først træls da vi skulle flytte fra hinanden og hun ikke gad at hjælpe med at rydde op og vi sådan endte med at skilles lidt som uvenner og sådan",0,"10","10_A","Spontaneous"
"10_Spontaneous","det var lidt træls haha jaha",0,"10","10_A","Spontaneous"
"10_Spontaneous","ja det super irriterende ja",0,"10","10_B","Spontaneous"
"10_Spontaneous","det sådan lidt ærgerligt fordi vi kom faktisk meget godt ud af det med hinanden men nu snakker vi ikke sammen længere",0,"10","10_A","Spontaneous"
"10_Spontaneous","fordi at der kom praktisk øh",0,"10","10_B","Spontaneous"
"10_Spontaneous","ja og penge og pis og lort",0,"10","10_A","Spontaneous"
"10_Spontaneous","ja",0,"10","10_A","Spontaneous"
"10_Spontaneous","ja okay",0,"10","10_B","Spontaneous"
"10_Spontaneous","det i hvert fald en træls",0,"10","10_B","Spontaneous"
"10_Spontaneous","ja",0,"10","10_A","Spontaneous"
"10_Spontaneous","(xxx)",0,"10","10_B","Spontaneous"
"10_Spontaneous","jeg synes slet ikke lige sådan der er noget der sådan popper",0,"10","10_B","Spontaneous"
"10_Spontaneous","(xxx) den værste",0,"10","10_B","Spontaneous"
"10_Spontaneous","(xxx) sine forældre dengang man var teenager",0,"10","10_A","Spontaneous"
"10_Spontaneous","haha ja dem har man selvfølgelig også boet sammen med nu sidder jeg bare og tænker sådan på dem man sådan har boet med her øh efter man er flyttet hjemmefra",0,"10","10_B","Spontaneous"
"10_Spontaneous","haha haha ja",0,"10","10_A","Spontaneous"
"10_Spontaneous","ja",0,"10","10_A","Spontaneous"
"10_Spontaneous","men ja det vi er egentlig kommet godt ud med (xxx) med hinanden jeg boede med dengang",0,"10","10_B","Spontaneous"
"10_Spontaneous","ja",0,"10","10_A","Spontaneous"
"10_Spontaneous","det da meget hyggeligt",0,"10","10_A","Spontaneous"
"10_Spontaneous","ja ja det det tror jeg ikke lige jeg har så meget at sige",0,"10","10_B","Spontaneous"
"10_Spontaneous","nej",0,"10","10_A","Spontaneous"
"10_Spontaneous","anbefal to tv-serier som I tror den anden vil synes om",0,"10","10_B","Spontaneous"
"10_Spontaneous","åh jeg er sådan lidt ny i det der tv-serie- øh univers",0,"10","10_B","Spontaneous"
"10_Spontaneous","jeg har set sådan en rigtig pigeserie der sådan hed Revenge",0,"10","10_B","Spontaneous"
"10_Spontaneous","okay",0,"10","10_A","Spontaneous"
"10_Spontaneous","var god",0,"10","10_B","Spontaneous"
"10_Spontaneous","er det sådan en rigtig Gossip Girl-agtig (xxx) eller hvad? Haha",0,"10","10_A","Spontaneous"
"10_Spontaneous","ja ja i den den dur",0,"10","10_B","Spontaneous"
"10_Spontaneous","ja",0,"10","10_A","Spontaneous"
"10_Spontaneous","ja den var jeg ret vild med",0,"10","10_B","Spontaneous"
"10_Spontaneous","fedt",0,"10","10_A","Spontaneous"
"10_Spontaneous","øh ellers så elsker jeg Desperate Housewifes",0,"10","10_B","Spontaneous"
"10_Spontaneous","okay",0,"10","10_A","Spontaneous"
"10_Spontaneous","så har du set øh så vil du sikkert kunne lide sådan noget New Girl",0,"10","10_A","Spontaneous"
"10_Spontaneous","(xxx) det har (xxx) ikke set",0,"10","10_B","Spontaneous"
"10_Spontaneous","det har du ikke set? Nej",1,"10","10_A","Spontaneous"
"10_Spontaneous","nej",0,"10","10_B","Spontaneous"
"10_Spontaneous","øh hvis det sådan noget lidt øh drama øh (xxx) a la Gossip Girl har du set det?",0,"10","10_A","Spontaneous"
"10_Spontaneous","ja det har jeg set noget af engang",0,"10","10_B","Spontaneous"
"10_Spontaneous","ja det (xxx) (xxx) tænker jeg",0,"10","10_A","Spontaneous"
"10_Spontaneous","ja",0,"10","10_A","Spontaneous"
"10_Spontaneous","faktisk",0,"10","10_B","Spontaneous"
"10_Spontaneous","ja haha",0,"10","10_B","Spontaneous"
"10_Spontaneous","haha",0,"10","10_A","Spontaneous"
"10_Spontaneous","hvad er du til?",0,"10","10_B","Spontaneous"
"10_Spontaneous","jeg altså jeg s- lidt af det hele jeg kan rigtig godt lide sådan noget også lidt drama og noget der er sjovt men jeg kan også rigtig godt lide sådan noget Game of Thrones og",0,"10","10_A","Spontaneous"
"10_Spontaneous","ja sådan lidt mere fantasy",0,"10","10_A","Spontaneous"
"10_Spontaneous","ja",0,"10","10_B","Spontaneous"
"10_Spontaneous","det lidt (xxx) det er vi øh mig og min kæreste er også i gang med at se (xxx)",0,"10","10_B","Spontaneous"
"10_Spontaneous","ja",0,"10","10_A","Spontaneous"
"10_Spontaneous","jeg synes faktisk det er meget godt men det også",0,"10","10_B","Spontaneous"
"10_Spontaneous","jeg skal lige vænne mig til genren",0,"10","10_B","Spontaneous"
"10_Spontaneous","ja haha",0,"10","10_A","Spontaneous"
"10_Spontaneous","ja specielt i starten (xxx) synes jeg det meget godt (xxx) lang vej",0,"10","10_B","Spontaneous"
"10_Spontaneous","ja",0,"10","10_A","Spontaneous"
"10_Spontaneous","ja det kan godt virke lidt uoverskueligt nu har jeg været med fra start af heldigvis (xxx) jeg kunne forstille mig at hvis jeg startede nu at ville virke ret uoverskueligt",0,"10","10_A","Spontaneous"
"10_Spontaneous","haha",0,"10","10_B","Spontaneous"
"10_Spontaneous","ja okay",0,"10","10_B","Spontaneous"
"10_Spontaneous","ja ja vi ja vi vi startede der i sommers (xxx)",0,"10","10_B","Spontaneous"
"10_Spontaneous","ja",0,"10","10_A","Spontaneous"
"10_Spontaneous","ja nå<U+F0E0> fortæl hinanden om den værste oplevelse I har haft med en chef",0,"10","10_B","Spontaneous"
"10_Spontaneous","(xxx) (xxx) bare",0,"10","10_B","Spontaneous"
"10_Spontaneous","(xxx) ikke sådan en oplevelse jeg synes bare jeg har haft sådan rigtig chef engang jeg arbejdede i Føtex han var bare sådan rigtig arrogant type der var sådan",0,"10","10_B","Spontaneous"
"10_Spontaneous","altså nu var han jo chef ikke også og var jo sådan en servicemedarbejder eller hvad man skal kalde det assistentting i kassen (xxx) (xxx) han værdsatte ikke sine folk nedad eller sådan han var dårlig til sådan at",0,"10","10_B","Spontaneous"
"10_Spontaneous","ja",0,"10","10_A","Spontaneous"
"10_Spontaneous","ja vi var lidt ligemeget følte man lidt den den sådan synes jeg (xxx) det træls",0,"10","10_B","Spontaneous"
"10_Spontaneous","ja",0,"10","10_A","Spontaneous"
"10_Spontaneous","ja",0,"10","10_A","Spontaneous"
"10_Spontaneous","men det var sådan mere sådan en generel",0,"10","10_B","Spontaneous"
"10_Spontaneous","ja for man føler ligesom også man bidrager ikke? Altså",0,"10","10_A","Spontaneous"
"10_Spontaneous","ja",0,"10","10_B","Spontaneous"
